,month,crime_count
0,2022-03,4433
1,2022-04,3881
2,2022-05,4389
3,2022-06,4088
4,2022-07,3675
5,2022-08,4100
6,2022-09,4370
7,2022-10,4549
8,2022-11,4678
9,2022-12,4336
10,2023-01,4905
11,2023-02,4355
12,2023-03,4506
13,2023-04,3832
14,2023-05,4115
15,2023-06,4164
16,2023-07,4044
17,2023-08,4198
18,2023-09,4118
19,2023-10,4129
20,2023-11,4198
21,2023-12,4494
22,2024-01,4551
23,2024-02,4008
24,2024-03,4216
25,2024-04,3821
26,2024-05,3584
27,2024-06,3531
28,2024-07,3772
29,2024-08,3799
30,2024-09,3668
31,2024-10,4147
32,2024-11,4152
33,2024-12,4269
34,2025-01,4034
35,2025-02,3406
